date,symbol,open,high,low,close,volume
2023-01-03,SOCK,100.0,100.51,99.32,99.55,3143528
2023-01-03,YARN,50.0,52.0,49.9,51.74,3135325
2023-01-04,SOCK,99.55,99.78,98.73,98.98,3029742
2023-01-04,YARN,51.74,53.73,51.42,53.48,1525477
2023-01-05,SOCK,98.98,101.34,98.59,101.09,2698076
2023-01-05,YARN,53.48,54.27,52.91,53.05,1351388
2023-01-06,SOCK,101.09,101.77,100.63,101.53,1892955
2023-01-06,YARN,53.05,55.7,52.61,54.21,3439810
2023-01-09,SOCK,101.53,103.3,97.28,98.15,4905020
2023-01-09,YARN,54.21,54.72,51.72,52.09,2843533
2023-01-10,SOCK,98.15,100.01,96.74,97.29,2158437
2023-01-10,YARN,52.09,55.52,51.77,54.45,2875862
2023-01-11,SOCK,97.29,98.34,96.65,97.95,1722905
2023-01-11,YARN,54.45,55.01,53.84,54.01,2532686
2023-01-12,SOCK,97.95,102.64,97.27,101.38,2489590
2023-01-12,YARN,54.01,56.04,53.94,55.93,2410611
2023-01-13,SOCK,101.38,101.48,100.1,100.74,3721599
2023-01-13,YARN,55.93,57.22,55.02,56.74,2139279
2023-01-16,SOCK,100.74,102.09,100.36,101.3,3342247
2023-01-16,YARN,56.74,57.45,56.01,56.06,4088514
2023-01-17,SOCK,101.3,101.55,99.3,99.73,1976386
2023-01-17,YARN,56.06,56.68,55.44,56.41,1248067
2023-01-18,SOCK,99.73,100.81,96.28,96.81,4500549
2023-01-18,YARN,56.41,57.11,54.53,55.11,3941652
2023-01-19,SOCK,96.81,97.6,96.19,96.67,2672491
2023-01-19,YARN,55.11,56.41,53.8,56.03,1618086
2023-01-20,SOCK,96.67,96.69,96.05,96.6,2955852
2023-01-20,YARN,56.03,56.44,54.69,55.35,3701375
2023-01-23,SOCK,96.6,99.81,96.49,99.45,4501911
2023-01-23,YARN,55.35,56.43,52.53,52.95,3955066
2023-01-24,SOCK,99.45,100.04,95.54,96.92,3377479
2023-01-24,YARN,52.95,53.01,49.93,51.23,2900953
2023-01-25,SOCK,96.92,97.44,93.88,95.1,2896393
2023-01-25,YARN,51.23,52.96,50.89,51.77,4483303
2023-01-26,SOCK,95.1,95.28,91.02,91.3,3805968
2023-01-26,YARN,51.77,53.09,51.33,51.36,3343338
2023-01-27,SOCK,91.3,93.59,87.57,87.88,2543165
2023-01-27,YARN,51.36,51.39,46.75,47.42,4134744
2023-01-30,SOCK,87.88,87.97,86.48,86.64,2846781
2023-01-30,YARN,47.42,48.1,46.1,46.78,2518249
2023-01-31,SOCK,86.64,87.5,85.26,87.12,1517360
2023-01-31,YARN,46.78,47.01,45.21,45.31,2562737
2023-02-01,SOCK,87.12,88.26,86.25,88.25,4485687
2023-02-01,YARN,45.31,45.94,43.98,44.2,2287975
2023-02-02,SOCK,88.25,90.46,86.51,89.99,4277119
2023-02-02,YARN,44.2,46.08,43.48,44.81,1736846
2023-02-03,SOCK,89.99,90.46,88.36,88.9,2661186
2023-02-03,YARN,44.81,44.95,44.45,44.82,3301731
2023-02-06,SOCK,88.9,90.33,86.14,86.62,1704870
2023-02-06,YARN,44.82,44.96,43.81,44.33,4373559
2023-02-07,SOCK,86.62,86.69,85.79,86.41,2939850
2023-02-07,YARN,44.33,45.21,42.36,43.77,1817238
2023-02-08,SOCK,86.41,86.77,84.43,85.32,2477014
2023-02-08,YARN,43.77,44.41,41.0,41.2,3259738
2023-02-09,SOCK,85.32,87.35,84.47,85.42,3761974
2023-02-09,YARN,41.2,42.62,41.17,41.23,4093926
